prestamo_id,periodo_inicio,periodo_fin,dias,saldo_inicial,tasa,interes_causado,ajuste_intrs_causacion,tipo_evento
90001 -  IRENE CORREA COSTA - 8383838),2025-09-15,2025-09-29,15,620310.00,12.500000,3230.78,0.00,CAUSACION
90007 -  ABRAHAM MORRISSON - 34567999),2025-09-18,2025-09-29,12,400000.00,21.600000,2880.00,0.00,CAUSACION
90008 -  ABRAHAM MORRISSON - 34567999),2025-09-01,2025-09-14,14,1856800.00,21.600000,15597.12,0.00,CAUSACION
90008 -  ABRAHAM MORRISSON - 34567999),2025-09-16,2025-09-29,14,1790916.73,21.600000,15043.70,0.00,CAUSACION
90040 -  TULIA ROJAS PEÑA - 333344),2025-09-16,2025-09-29,14,5000000.00,12.500000,24305.56,0.00,CAUSACION
90022 -  FORTUNATO PEREZ RICO - 9388383777),2025-09-14,2025-09-29,16,1340010.00,15.000000,8933.40,0.00,CAUSACION
90045 -  FAUSTO ACOSTA - 4343444432),2025-09-01,2025-09-29,29,4000000.00,12.500000,40277.78,0.00,CAUSACION
90036 -  JOHN KENDALL - 432156),2025-09-27,2025-09-29,3,859232.00,12.500000,895.03,0.00,CAUSACION
90006 -  SATURIA SARMIENTO GOMEZ - 20146777),2025-09-27,2025-09-29,3,400000.00,8.500000,283.33,0.00,CAUSACION
90017 -  ANA MARIA GARCIA - 5697486),2025-09-25,2025-09-29,5,525386.00,21.600000,1576.16,0.00,CAUSACION
90014 -  PLINIO PLATA - 1006363636),2025-09-25,2025-09-29,5,5000000.00,24.000000,16666.67,0.00,CAUSACION
90049 -  GUMERCINDA GUTIERREZ - 78383777),2025-09-24,2025-09-29,6,1340010.00,10.000000,2233.35,0.00,CAUSACION
90048 -  SATURIA SARMIENTO GOMEZ - 20146777),2025-09-19,2025-09-29,11,10000000.00,20.400000,62333.33,0.00,CAUSACION
90024 -  AURA TORRES LEON - 100009887),2025-09-18,2025-09-29,12,5000000.00,21.600000,36000.00,0.00,CAUSACION
90009 -  ZOILA RODRIGUEZ - 10123456789),2025-09-17,2025-09-29,13,525386.00,24.000000,4553.35,0.00,CAUSACION
90023 -  FRANK JACKSON - 64242422),2025-09-15,2025-09-29,15,410675.00,21.600000,3696.08,0.00,CAUSACION
90041 -  IRENE CORREA COSTA - 8383838),2025-09-10,2025-09-29,20,2124666.00,20.400000,24079.55,0.00,CAUSACION
90032 -  SEVERO CASAS - 93930300),2025-09-03,2025-09-29,27,5000000.00,10.000000,37500.00,0.00,CAUSACION
64 -  RUBENOFILO CASTRO GUERRA - 1038373),2025-09-25,2025-09-29,5,900000.00,18.000000,2250.00,0.00,CAUSACION
